date,Global_Horizontal_Radiation,Pyranometer_1,Wind_Speed,Temperature_Probe_1,Active_Power
2017/1/3 17:00,470.2749049,430.5243963,3.263888876,52.28444544,6.868501067
2017/1/3 18:00,230.2336464,188.373806,3.357499997,47.45276928,2.184798494
2017/1/3 19:00,34.94491918,20.69299508,2.692222198,43.95221106,0.17122204
2017/1/3 20:00,-4.33390983,-4.078902702,2.180555562,42.17279943,-0.020636807
2017/1/3 21:00,-4.052059054,-3.807169,2.18194443,41.39559301,-0.020521214
2017/1/3 22:00,-3.430916349,-3.165934285,3.157777766,40.95970694,-0.020383549
2017/1/3 23:00,-3.374140481,-3.071457009,3.278333306,40.64230633,-0.020218729
2017/1/4 0:00,-3.462142467,-3.159361482,2.786111116,40.07175191,-0.019950109
2017/1/4 1:00,-3.748571316,-3.46911784,2.205833326,39.33821996,-0.020083983
2017/1/4 2:00,-3.357632081,-3.175648133,2.389166643,38.84257158,-0.020164327
2017/1/4 3:00,-3.264549553,-3.045891722,2.457499971,38.5195055,-0.020164781
2017/1/4 4:00,-3.0560926,-2.856132984,2.893333316,38.40801048,-0.020261028
2017/1/4 5:00,-3.072098523,-2.911582371,2.099722207,38.06265259,-0.020166183
2017/1/4 6:00,50.66750155,19.53353177,2.376666645,38.32962831,0.255305981
2017/1/4 7:00,174.5558561,111.9569133,4.00222218,41.67009544,2.905996958
2017/1/4 8:00,504.1433538,389.8758901,4.496388853,46.75986862,9.079902609
2017/1/4 9:00,646.8339538,560.1682638,4.062777718,51.63966084,12.43375286
2017/1/4 10:00,939.1340027,860.4838511,4.06027778,59.37999312,17.53436438
2017/1/4 11:00,1030.91332,981.5263622,3.87055558,64.35974979,18.79040623
2017/1/4 12:00,1092.609975,1054.333318,3.528611104,67.1175251,19.8708814
2017/1/4 13:00,1096.911886,1066.729594,3.507499993,68.22171211,19.68032106
2017/1/4 14:00,1040.397975,1014.318085,3.221944491,68.56071536,18.66747395
2017/1/4 15:00,892.2968089,866.5434011,3.303055545,63.44206874,16.07479898
2017/1/4 16:00,720.3334758,692.9563344,2.865833302,61.34026527,11.9907856
2017/1/4 17:00,484.4615161,450.5760625,3.013888935,56.39904213,7.46515882
2017/1/4 18:00,238.3506832,197.1210181,2.969166696,50.08064238,2.210707943
2017/1/4 19:00,35.27216391,21.88309176,2.783055584,45.63725408,0.186936362
2017/1/4 20:00,-4.422791103,-4.090721587,1.86722223,43.59614626,-0.020501468
2017/1/4 21:00,-4.285857201,-4.036596616,1.576666653,42.3785003,-0.020308929
